Latitud,Longitud,Abcisa X,Ordenada Y
20.06960732,-98.74632053,526524.5815254926,2219204.234711965
20.1458752,-98.4383668,558696.1813459652,2227723.073838895
20.158617,-98.2032289,583264.6803484973,2229233.5504219504
20.2690558,-98.9424592,506008.7763959078,2241256.522742493
20.3493589,-98.3563266,567182.8901867663,2250273.3639354557
20.0925906,-99.1221584,487229.0734975343,2221732.114619395
20.4099725,-99.3496421,463521.056956737,2256888.7377680866
19.7033507,-98.4033117,562533.6864896093,2178764.426046008
19.7101242,-98.4511121,557521.5984151162,2179497.098046108
20.0594546,-99.2212817,476861.43618126516,2218075.9017955796
21.0171913,-98.3481393,567740.4413912189,2324188.4560835958
20.0012616,-99.2182417,477170.91663304716,2211635.7877835343
20.2868572,-98.6690265,534558.557080943,2243260.0508180074
20.897157,-98.583737,543291.5698825611,2310821.8843411068
20.6133933,-99.1170123,487808.0056019275,2279366.164198523
20.2851739,-99.4137098,456801.9726865677,2243093.232705641
21.159252,-98.9048395,509879.39281074936,2339775.620091172
20.3308726,-99.231616,475822.7307559324,2248113.336514494
20.0357747,-98.3097498,572188.7987573779,2215589.1264060647
20.2216764,-98.9112967,509265.77344482165,2236014.806184401
20.7468867,-98.8087809,519906.5123297334,2294147.077685404
19.6569908,-98.5475736,547428.2165087007,2173587.628975276
20.0178607,-98.6359793,538074.368934759,2213499.1780188894
20.2452356,-99.0889209,490712.895824361,2238621.950943489
20.2039418,-98.5775599,544132.5601569185,2234105.95792492
21.0315497,-98.2870177,574085.2510853385,2325804.770707244
21.0323808,-98.5100697,550907.3484990867,2325809.432602128
20.4603542,-98.0786655,596096.2840360797,2262695.5328175495
21.1401383,-98.4205216,560168.8733813834,2337766.9928623335
20.3755391,-99.6510615,432057.41405117,2253173.7570692515
20.4848312,-99.2189153,477171.2001788942,2265149.47004832
21.0083191,-99.1886436,480395.5546103523,2323079.906537924
21.1330738,-98.5380837,547964.1205782288,2336945.1035329862
20.7835783,-98.8288704,517810.8269854219,2298205.397236098
21.0993684,-99.1232327,487201.0601877703,2333150.030617775
20.8409612,-98.7172783,529414.0326106512,2304572.361420475
20.2388318,-98.3221094,570804.6043057303,2238055.695769742
20.5947687,-98.7641125,524581.1179161214,2277318.439791226
20.2281337,-98.730526,528147.6366743229,2236749.796690111
20.1458481,-98.6721913,534258.9544079867,2227654.7460849555
20.0725144,-98.6962402,531760.4017561697,2219534.6796502406
20.2295188,-99.2140409,477642.7935465374,2236894.6291348306
20.7864134,-98.7303348,528065.7380168211,2298533.15843857
20.767794,-99.1505662,484327.74627841363,2296456.41477783
20.2525567,-99.6441329,432727.36032280716,2239560.536009261
20.1695567,-98.6485768,536721.3592301635,2230283.4629021087
21.170948,-98.607735,540721.2733458125,2341117.455665516
20.1265429,-98.7301836,528201.6633043757,2225507.4950416908
21.0501591,-99.2963079,469215.2691151549,2327727.4919307833
21.1947587,-99.0061902,499357.49810653954,2343702.376971396
20.2465921,-99.182217,480968.9821478297,2238780.0441986057
20.533288,-98.6388536,537649.1390345319,2270538.3671308006
20.115689,-98.8867442,511838.47548624215,2224287.560768132
20.3992024,-98.20183,583282.3111320898,2255860.2522262316
20.2847593,-99.0152407,498408.62953743327,2242993.3548355503
20.3825669,-98.9640123,503755.3236311907,2253817.4918605946
20.0391346,-98.3569232,567253.6428627153,2215941.283906015
19.9678015,-98.518416,550386.8969813264,2207990.542312545
20.5518515,-99.3124221,467434.2910017339,2272582.281809058
20.5341673,-99.6348372,433818.56078021857,2270722.6679039947
20.3380701,-98.2266664,580722.5061123385,2249082.2091430286
19.7856079,-98.5534939,546770.1483878861,2187818.651756589
21.0142984,-98.8436044,516252.47570805217,2323738.037127007
19.9050324,-99.3414846,464257.38866230013,2201008.5127571095
20.1868428,-99.3802966,460265.9118903343,2232203.0566133796
20.1028186,-99.1562584,483665.17808905174,2222866.936484343
20.1929668,-99.2726112,471518.2713809399,2232858.6367572555
20.7282737,-98.6303056,538491.20874512,2292119.3741580914
19.8410242,-98.981584,501928.33645736764,2193889.3071166556
20.130888,-99.2347467,475464.57553639496,2225982.780210554
20.9238934,-98.9501918,505179.1270827763,2313725.5538856382
19.8178707,-98.6041502,541455.6300202918,2191375.636444606
20.9893946,-98.6602351,535314.0114161592,2321011.4160059476
20.0917366,-99.2216243,476830.35496009374,2221648.3266770984
19.9565953,-98.9218599,508176.10298083373,2206680.0579295894
20.0522755,-99.3336408,465110.81202879036,2217300.9623871264
20.1074488,-98.3820022,564602.7863242942,2223491.4435580266
19.8798674,-98.8193114,518915.29371772415,2198197.665501918
20.8354448,-98.2845721,574436.2153461853,2304101.3412367785
20.7770019,-98.6792788,533381.561313207,2297501.2919881977
20.9517761,-98.3828512,564161.0508951008,2316934.1474594176
20.6452636,-98.6536224,536083.146472951,2282927.2583115026
19.9740474,-98.8620033,514437.55124552816,2208615.3360934597
19.9154381,-98.6681514,534731.7475428074,2202157.993141156
20.7384873,-99.383113,460114.35677885666,2293252.973717735
